tag,dataset,run_id,seed,varied_param,varied_value,test_acc,test_nmi,test_ari,test_ami,test_fmi,results_txt
ablation,wine,wine_abl_n_micro_2_seed42,42,n_micro,2,0.722222,0.737635,0.568814,0.72818,0.768533,outputs\gothic\real\wine_abl_n_micro_2_seed42\wine_results.txt
ablation,wine,wine_abl_n_micro_3_seed42,42,n_micro,3,0.888889,0.78493,0.720224,0.771124,0.818722,outputs\gothic\real\wine_abl_n_micro_3_seed42\wine_results.txt
ablation,wine,wine_abl_n_micro_5_seed42,42,n_micro,5,0.944444,0.858461,0.838845,0.850121,0.890045,outputs\gothic\real\wine_abl_n_micro_5_seed42\wine_results.txt
ablation,wine,wine_abl_n_micro_8_seed42,42,n_micro,8,0.777778,0.71854,0.585629,0.697717,0.758105,outputs\gothic\real\wine_abl_n_micro_8_seed42\wine_results.txt
ablation,wine,wine_abl_n_micro_12_seed42,42,n_micro,12,0.777778,0.619726,0.540837,0.596505,0.692596,outputs\gothic\real\wine_abl_n_micro_12_seed42\wine_results.txt
ablation,wine,wine_abl_n_micro_20_seed42,42,n_micro,20,0.75,0.718716,0.573372,0.69872,0.760302,outputs\gothic\real\wine_abl_n_micro_20_seed42\wine_results.txt
ablation,wine,wine_abl_dist_quantile_0p2_seed42,42,dist_quantile,0.2,0.555556,0.650542,0.435484,0.625129,0.667685,outputs\gothic\real\wine_abl_dist_quantile_0p2_seed42\wine_results.txt
ablation,wine,wine_abl_dist_quantile_0p3_seed42,42,dist_quantile,0.3,0.777778,0.5911,0.468425,0.564852,0.653138,outputs\gothic\real\wine_abl_dist_quantile_0p3_seed42\wine_results.txt
ablation,wine,wine_abl_dist_quantile_0p4_seed42,42,dist_quantile,0.4,0.944444,0.858461,0.838845,0.850121,0.890045,outputs\gothic\real\wine_abl_dist_quantile_0p4_seed42\wine_results.txt
ablation,wine,wine_abl_dist_quantile_0p5_seed42,42,dist_quantile,0.5,0.944444,0.858461,0.838845,0.850121,0.890045,outputs\gothic\real\wine_abl_dist_quantile_0p5_seed42\wine_results.txt
ablation,wine,wine_abl_dist_quantile_0p6_seed42,42,dist_quantile,0.6,0.944444,0.858461,0.838845,0.850121,0.890045,outputs\gothic\real\wine_abl_dist_quantile_0p6_seed42\wine_results.txt
ablation,wine,wine_abl_dist_quantile_0p7_seed42,42,dist_quantile,0.7,0.944444,0.858461,0.838845,0.850121,0.890045,outputs\gothic\real\wine_abl_dist_quantile_0p7_seed42\wine_results.txt
ablation,wine,wine_abl_b_boundary_1_seed42,42,b_boundary,1,0.944444,0.858461,0.838845,0.850121,0.890045,outputs\gothic\real\wine_abl_b_boundary_1_seed42\wine_results.txt
ablation,wine,wine_abl_b_boundary_3_seed42,42,b_boundary,3,0.944444,0.858461,0.838845,0.850121,0.890045,outputs\gothic\real\wine_abl_b_boundary_3_seed42\wine_results.txt
ablation,wine,wine_abl_b_boundary_5_seed42,42,b_boundary,5,0.944444,0.858461,0.838845,0.850121,0.890045,outputs\gothic\real\wine_abl_b_boundary_5_seed42\wine_results.txt
ablation,wine,wine_abl_b_boundary_7_seed42,42,b_boundary,7,0.944444,0.858461,0.838845,0.850121,0.890045,outputs\gothic\real\wine_abl_b_boundary_7_seed42\wine_results.txt
ablation,wine,wine_abl_b_boundary_10_seed42,42,b_boundary,10,0.944444,0.858461,0.838845,0.850121,0.890045,outputs\gothic\real\wine_abl_b_boundary_10_seed42\wine_results.txt
ablation,wine,wine_abl_d_model_32_seed42,42,d_model,32,0.944444,0.858461,0.838845,0.850121,0.890045,outputs\gothic\real\wine_abl_d_model_32_seed42\wine_results.txt
ablation,wine,wine_abl_d_model_64_seed42,42,d_model,64,0.944444,0.858461,0.838845,0.850121,0.890045,outputs\gothic\real\wine_abl_d_model_64_seed42\wine_results.txt
ablation,wine,wine_abl_d_model_128_seed42,42,d_model,128,0.944444,0.858461,0.838845,0.850121,0.890045,outputs\gothic\real\wine_abl_d_model_128_seed42\wine_results.txt
ablation,wine,wine_abl_d_model_256_seed42,42,d_model,256,0.944444,0.858461,0.838845,0.850121,0.890045,outputs\gothic\real\wine_abl_d_model_256_seed42\wine_results.txt
ablation,wine,wine_abl_n_heads_1_seed42,42,n_heads,1,0.944444,0.858461,0.838845,0.850121,0.890045,outputs\gothic\real\wine_abl_n_heads_1_seed42\wine_results.txt
ablation,wine,wine_abl_n_heads_2_seed42,42,n_heads,2,0.944444,0.858461,0.838845,0.850121,0.890045,outputs\gothic\real\wine_abl_n_heads_2_seed42\wine_results.txt
ablation,wine,wine_abl_n_heads_4_seed42,42,n_heads,4,0.944444,0.858461,0.838845,0.850121,0.890045,outputs\gothic\real\wine_abl_n_heads_4_seed42\wine_results.txt
ablation,wine,wine_abl_n_heads_8_seed42,42,n_heads,8,0.944444,0.858461,0.838845,0.850121,0.890045,outputs\gothic\real\wine_abl_n_heads_8_seed42\wine_results.txt
ablation,wine,wine_abl_attn_hidden_32_seed42,42,attn_hidden,32,0.944444,0.858461,0.838845,0.850121,0.890045,outputs\gothic\real\wine_abl_attn_hidden_32_seed42\wine_results.txt
ablation,wine,wine_abl_attn_hidden_64_seed42,42,attn_hidden,64,0.944444,0.858461,0.838845,0.850121,0.890045,outputs\gothic\real\wine_abl_attn_hidden_64_seed42\wine_results.txt
ablation,wine,wine_abl_attn_hidden_128_seed42,42,attn_hidden,128,0.944444,0.858461,0.838845,0.850121,0.890045,outputs\gothic\real\wine_abl_attn_hidden_128_seed42\wine_results.txt
ablation,wine,wine_abl_attn_hidden_256_seed42,42,attn_hidden,256,0.944444,0.858461,0.838845,0.850121,0.890045,outputs\gothic\real\wine_abl_attn_hidden_256_seed42\wine_results.txt
ablation,wine,wine_abl_n_transformer_layers_1_seed42,42,n_transformer_layers,1,0.944444,0.858461,0.838845,0.850121,0.890045,outputs\gothic\real\wine_abl_n_transformer_layers_1_seed42\wine_results.txt
ablation,wine,wine_abl_n_transformer_layers_2_seed42,42,n_transformer_layers,2,0.944444,0.858461,0.838845,0.850121,0.890045,outputs\gothic\real\wine_abl_n_transformer_layers_2_seed42\wine_results.txt
ablation,wine,wine_abl_n_transformer_layers_3_seed42,42,n_transformer_layers,3,0.944444,0.858461,0.838845,0.850121,0.890045,outputs\gothic\real\wine_abl_n_transformer_layers_3_seed42\wine_results.txt
ablation,wine,wine_abl_n_transformer_layers_4_seed42,42,n_transformer_layers,4,0.944444,0.858461,0.838845,0.850121,0.890045,outputs\gothic\real\wine_abl_n_transformer_layers_4_seed42\wine_results.txt
ablation,wine,wine_abl_n_transformer_layers_6_seed42,42,n_transformer_layers,6,0.944444,0.858461,0.838845,0.850121,0.890045,outputs\gothic\real\wine_abl_n_transformer_layers_6_seed42\wine_results.txt
