dataset          = d31
run_id           = d31_ID001
seed             = 42
split_strategy   = balanced
train_fraction   = 0.8

reduce_dim       = none
pca_trigger_dim  = 100
pca_dim          = 64
max_density_dim  = 64
used_dim         = 2

n_micro          = 85
k_target         = 31
kmeans_n_init    = 50
kmeans_max_iter  = 500
dist_quantile    = 0.3
dist_thresh      = 9.102210998535156
b_boundary       = 5

d_model          = 32
n_heads          = 4
attn_hidden      = 64
n_transformer_layers = 2
train_epochs     = 2000
lr               = 0.001
weight_decay     = 0.0001

Train NMI        = 0.944616
Train AMI        = 0.941136
Train ARI        = 0.906429
Train FMI        = 0.909423
Train Silhouette = 0.518404
Train DB         = 0.621929
Train CH         = 5951.813907
Train ACC        = 0.952419

Test NMI         = 1.000000
Test AMI         = 1.000000
Test ARI         = 1.000000
Test FMI         = 1.000000
Test Silhouette  = 0.823247
Test DB          = 0.263538
Test CH          = 8597.178509
Test ACC         = 1.000000
