dataset          = pathbased
run_id           = pathbased_ID001
seed             = 42
split_strategy   = balanced
train_fraction   = 0.8

reduce_dim       = none
pca_trigger_dim  = 100
pca_dim          = 64
max_density_dim  = 64
used_dim         = 2

n_micro          = 80
k_target         = 3
kmeans_n_init    = 50
kmeans_max_iter  = 500
dist_quantile    = 0.15
dist_thresh      = 5.932633399963379
b_boundary       = 20

d_model          = 64
n_heads          = 4
attn_hidden      = 64
n_transformer_layers = 3
train_epochs     = 2000
lr               = 0.002
weight_decay     = 1e-06

Train NMI        = 0.979500
Train AMI        = 0.979341
Train ARI        = 0.987356
Train FMI        = 0.991562
Train Silhouette = 0.245366
Train DB         = 2.606201
Train CH         = 37.893828
Train ACC        = 0.995833

Test NMI         = 1.000000
Test AMI         = 1.000000
Test ARI         = 1.000000
Test FMI         = 1.000000
Test Silhouette  = 0.345821
Test DB          = 2.325675
Test CH          = 13.597098
Test ACC         = 1.000000
