dataset          = d31
run_id           = d31_ID001
seed             = 42
split_strategy   = balanced
train_fraction   = 0.8
k_target         = 31
affinity         = rbf
gamma            = 1.0
n_neighbors      = 10
assign_labels    = kmeans

Train NMI        = 0.959017
Train AMI        = 0.956444
Train ARI        = 0.937384
Train FMI        = 0.939381
Train Silhouette = 0.532376
Train DB         = 0.610279
Train CH         = 6200.525343
Train ACC        = 0.968952

Test NMI         = 1.000000
Test AMI         = 1.000000
Test ARI         = 1.000000
Test FMI         = 1.000000
Test Silhouette  = 0.823247
Test DB          = 0.263538
Test CH          = 8597.178473
Test ACC         = 1.000000
